schema:materialExtent,schema:name,schema:address,schema:identifier,schema:addressLocality,schema:name...18
0.16,Kenmore Park,"3141 N Kenmore Ave Chicago, IL 60657",Chicago_Park_1115,1868,Ward 44
0.26,Keystone Park,"1655 N Keystone Ave Chicago, IL 60639",Chicago_Park_1116,1867,Ward 26
1.19,Langley Park,"700 E 113th St Chicago, IL 60628",Chicago_Park_1118,1870,Ward 9
0.9,Thuis Park,"4800 N Lavergne Ave Chicago, IL 60630",Chicago_Park_1119,1886,Ward 45
0.18,London Park,"3432 W 18th St Chicago, IL 60623",Chicago_Park_1120,1864,Ward 24
0.42,Humbert Park,"632 W 31st St Chicago, IL 60616",Chicago_Park_1121,1881,Ward 11
1.38,Luella Park,"10021 S Luella Ave Chicago, IL 60617",Chicago_Park_1122,1883,Ward 7
0.2,Lunt Park,"2239 W Lunt Ave Chicago, IL 60645",Chicago_Park_1123,1889,Ward 50
0.21,Merryman Park,"3736 N Marshfield Ave Chicago, IL 60613",Chicago_Park_1124,1874,Ward 47
3.16,Merrill Park,"2131 E 96th St Chicago, IL 60617",Chicago_Park_1126,1883,Ward 7
0.16,Millard Park,"1331 S Millard Ave Chicago, IL 60623",Chicago_Park_1127,1864,Ward 24
0.13,Miller Park,"848 S Miller St Chicago, IL 60607",Chicago_Park_1128,1873,Ward 25
0.38,Montgomery Park,"2632 W 66th St Chicago, IL 60629",Chicago_Park_1129,1863,Ward 17
0.41,Monticello Park,"1814 N Monticello Ave Chicago, IL 60647",Chicago_Park_1130,1893,Ward 1
3.22,Morgan Field Park,"11710 S Morgan St Chicago, IL 60643",Chicago_Park_1132,1859,Ward 34
0.15,Nelson Park,"2953 W Nelson St Chicago, IL 60618",Chicago_Park_1133,1858,Ward 33
0.4,Weisman Park,"901 W Oakdale Ave Chicago, IL 60657",Chicago_Park_1135,1868,Ward 44
0.48,Oakley Park,"6441 S Oakley Ave Chicago, IL 60636",Chicago_Park_1137,1901,Ward 16
0.56,Ohio & Harding Park,"607 N Harding Ave Chicago, IL 60624",Chicago_Park_1138,1900,Ward 37
0.48,Ohio Park,"4712 W Ohio St Chicago, IL 60644",Chicago_Park_1139,1896,Ward 28
0.15,Brynford Park,"5640 N Pulaski Rd Chicago, IL 60646",Chicago_Park_1141,1899,Ward 39
0.42,Supera Park,"2528 N Racine Ave Chicago, IL 60614",Chicago_Park_1143,1898,Ward 43
0.17,Wendt Park,"667 W Roscoe St Chicago, IL 60657",Chicago_Park_1145,1868,Ward 44
0.93,Sacramento Park,"3520 N Sacramento Ave Chicago, IL 60618",Chicago_Park_1147,1858,Ward 33
0.25,Schaefer Park,"2415 N Marshfield Ave Chicago, IL 60614",Chicago_Park_1148,1887,Ward 32
0.45,Saint Louis Park,"347 N St Louis Ave Chicago, IL 60624",Chicago_Park_1149,1896,Ward 28
0.34,Superior Park,"2101 W Superior St Chicago, IL 60612",Chicago_Park_1150,1893,Ward 1
0.22,Summerdale Park,"7262 W Summerdale Ave Chicago, IL 60656",Chicago_Park_1151,1865,Ward 41
0.66,Till-Mobley Park,"6410 S Ellis Ave Chicago, IL 60637",Chicago_Park_1154,1884,Ward 20
0.2,Sintic Park,"2835 S Wallace St Chicago, IL 60616",Chicago_Park_1155,1881,Ward 11
0.72,Throop Park,"1811 S Throop St Chicago, IL 60608",Chicago_Park_1159,1873,Ward 25
0.16,Algonquin Park,"2941 N Washtenaw Ave Chicago, IL 60618",Chicago_Park_1161,1858,Ward 33
0.49,McKeon Park,"600 W 36th St Chicago, IL 60609",Chicago_Park_1162,1881,Ward 11
0.98,Mason Park,"4100 W West End Ave Chicago, IL 60624",Chicago_Park_1164,1896,Ward 28
0.28,Western Park,"907 N Western Ave Chicago, IL 60622",Chicago_Park_1165,1893,Ward 1
0.21,Park West,"745 W Wrightwood Ave Chicago, IL 60614",Chicago_Park_1168,1898,Ward 43
1.01,Adams (John) Park,"7535 S Dobson Ave Chicago, IL 60619",Chicago_Park_1199,1907,Ward 8
0.33,Connors Park,"871 N Wabash Ave Chicago, IL 60611",Chicago_Park_1200,1879,Ward 42
1.22,Arcade Park,"11144 S St Lawrence Ave Chicago, IL 60628",Chicago_Park_1201,1870,Ward 9
5.36,Auburn Park,"406 W Winneconna Pkwy Chicago, IL 60620",Chicago_Park_1203,1863,Ward 17
4.67,Austin Park,"5951 W Lake St Chicago, IL 60644",Chicago_Park_1204,1897,Ward 29
2.38,Barnard Park,"10441 S Longwood Dr Chicago, IL 60643",Chicago_Park_1205,1885,Ward 19
0.14,Mid-North Park,"401 W Belden Ave Chicago, IL 60614",Chicago_Park_1206,1898,Ward 43
0.72,Bickerdike Square Park,"1438 W Ohio St Chicago, IL 60622",Chicago_Park_1207,1893,Ward 1
0.2,Chamberlain Triangle Park,"4233 S Greenwood Ave Chicago, IL 60653",Chicago_Park_1209,1882,Ward 4
6.72,Dixon Park,"8931 S Dauphin Ave Chicago, IL 60619",Chicago_Park_1210,1907,Ward 8
1.22,Dickinson Park,"4117 N Lavergne Ave Chicago, IL 60641",Chicago_Park_1211,1886,Ward 45
1.35,Green Park,"6500 N Algonquin Ave Chicago, IL 60646",Chicago_Park_1212,1865,Ward 41
9.86,Ellis Park,"600 E 37th St Chicago, IL 60653",Chicago_Park_1213,1882,Ward 4
0.06,Eugenie Triangle Park,"1707 N La Salle St Chicago, IL 60614",Chicago_Park_1214,1898,Ward 43
9.29,Fernwood Pkwy Park,"9501 S Eggleston Ave Chicago, IL 60628",Chicago_Park_1215,NA,NA
0.57,Hodes Park,"1607 E 73rd St Chicago, IL 60649",Chicago_Park_1216,1907,Ward 8
0.96,Kinzie Pkwy Park,"5200 W Kinzie St Chicago, IL 60644",Chicago_Park_1217,1900,Ward 37
2.82,Lily Gardens Park,"632 W 71st St Chicago, IL 60621",Chicago_Park_1218,1902,Ward 6
0.28,Mellin Park,"1600 W Bryn Mawr Ave Chicago, IL 60640",Chicago_Park_1219,1906,Ward 40
7.04,Levin Park,"462 N Pine Ave Chicago, IL 60644",Chicago_Park_1220,1900,Ward 37
0.07,Mulberry Point Park,"5873 N Nina Ave Chicago, IL 60631",Chicago_Park_1222,1865,Ward 41
1.72,Myrtle Grove Park,"6113 N Neva Ave Chicago, IL 60631",Chicago_Park_1223,1865,Ward 41
5.78,Addams (Jane) Memorial Park,"485 E Ohio St Chicago, IL 60611",Chicago_Park_1224,1879,Ward 42
3.12,Harris (Ryan) Memorial Park,"6701 S Lowe Ave Chicago, IL 60621",Chicago_Park_1225,NA,NA
2.6,Norwood Circle Park,"7117 W Peterson Ave Chicago, IL 60631",Chicago_Park_1226,1865,Ward 41
1.01,Pullman Park,"11113 S Cottage Grove Ave Chicago, IL 60628",Chicago_Park_1237,1870,Ward 9
1.27,Centennial Park,"6086 N Northwest Hwy Chicago, IL 60631",Chicago_Park_1238,1865,Ward 41
0.18,Mariano Park,"1031 N Rush St Chicago, IL 60611",Chicago_Park_1239,1879,Ward 42
1.01,Seneca Park,"228 E Chicago Ave Chicago, IL 60611",Chicago_Park_1242,1894,Ward 2
2.84,Washington Square Park,"901 N Clark St Chicago, IL 60610",Chicago_Park_1244,1894,Ward 2
2.24,Hartigan Beach Park,"1040 W Albion Ave Chicago, IL 60626",Chicago_Park_1248,1876,Ward 49
0.95,Doria Beach Park,"1040 W Columbia Ave Chicago, IL 60626",Chicago_Park_1251,1876,Ward 49
0.61,Fargo Beach Park,"1300 W Fargo Ave Chicago, IL 60626",Chicago_Park_1253,1876,Ward 49
3.5,Berger Park,"6227 N Sheridan Rd Chicago, IL 60660",Chicago_Park_1255,1872,Ward 48
1.06,Howard Beach Park,"1300 W Howard St Chicago, IL 60626",Chicago_Park_1256,1876,Ward 49
1.05,Griffin Park,"1234 W Jarvis Ave Chicago, IL 60626",Chicago_Park_1257,1876,Ward 49
1.02,Juneway Beach Park,"7751 N Eastlake Ter Chicago, IL 60626",Chicago_Park_1258,1876,Ward 49
0.66,North Shore Beach Park,"1040 W North Shore Ave Chicago, IL 60626",Chicago_Park_1260,1876,Ward 49
2.31,Prinz Beach Park,"1050 W Pratt Blvd Chicago, IL 60626",Chicago_Park_1261,1876,Ward 49
